Repeat,Generation,X1,X2,F(x)
21,50,-7.083085374227511721301198122091591358184814453125,-7.70778973067826367326915715239010751247406005859375,186.7298770597793691194965504109859466552734375,
Repeat,Generation,X1,X2,F(x)
22,0,-4.4167238879987795741044465103186666965484619140625,-7.14778362706950520788495850865729153156280517578125,34.752845715749316468645702116191387176513671875,
22,10,-0.821087968261235090494665200822055339813232421875,-1.4921797512779431116314299288205802440643310546875,175.671805762410286888552946038544178009033203125,
22,20,-0.796978713664454829768146737478673458099365234375,-1.4158846417944612738892828929238021373748779296875,186.506594486472721428071963600814342498779296875,
22,30,-0.799420157167926248575895442627370357513427734375,-1.4244296940566112397164033609442412853240966796875,186.72797721688135652584605850279331207275390625,
22,40,-0.800335698481728030628801207058131694793701171875,-1.4253452353704130217693091253750026226043701171875,186.73079881277141112150275148451328277587890625,
22,50,-0.800335698481728030628801207058131694793701171875,-1.4253452353704130217693091253750026226043701171875,186.73079881277141112150275148451328277587890625,
Repeat,Generation,X1,X2,F(x)
23,0,5.5153734645609215903050426277332007884979248046875,5.9789425497825590127831674180924892425537109375,99.2655323916201126621672301553189754486083984375,
23,10,5.4757000076295110346791261690668761730194091796875,6.0961318379491871155551052652299404144287109375,123.370659150706075024572783149778842926025390625,
23,20,5.4863813229571984919630267540924251079559326171875,6.0949111161974514061512309126555919647216796875,123.463164650877189387756516225636005401611328125,
23,30,5.4836346990157931458043094608001410961151123046875,6.0881971465629050044299219734966754913330078125,123.5756030449674796045655966736376285552978515625,
23,40,5.4836346990157931458043094608001410961151123046875,6.08789196612497107707895338535308837890625,123.57588657190791536777396686375141143798828125,
23,50,5.5458915083543143254019014420919120311737060546875,-1.5288014038300143937476605060510337352752685546875,155.557418180106793670347542501986026763916015625,
Repeat,Generation,X1,X2,F(x)
24,0,-8.16952773327229664346305071376264095306396484375,-0.2363622491798285096820109174586832523345947265625,37.0171408800026853214149014092981815338134765625,
24,10,5.4952315556572823851411158102564513683319091796875,-1.4695963988708324876597544061951339244842529296875,181.876495874524522378123947419226169586181640625,
24,20,5.4955367360952163124920843984000384807586669921875,-1.4271763179980165858751206542365252971649169921875,186.367056283387199755452456884086132049560546875,
24,30,5.4784466315709163808378434623591601848602294921875,-1.4299229419394219320338379475288093090057373046875,186.63427538647835035590105690062046051025390625,
24,40,5.4851606012054627825591524015180766582489013671875,-1.4225986114290076756105918320827186107635498046875,186.70433291366470029970514588057994842529296875,
24,50,5.4836346990157931458043094608001410961151123046875,-1.4250400549324790944183405372314155101776123046875,186.72957889384673535460024140775203704833984375,
Repeat,Generation,X1,X2,F(x)
25,0,-7.26161593041886010979624188621528446674346923828125,-1.258106355382619057081683422438800334930419921875,79.0042697279376824326391215436160564422607421875,
25,10,-7.70778973067826367326915715239010751247406005859375,-7.079118028534370665738606476224958896636962890625,186.687741108389474220530246384441852569580078125,
25,20,-7.70931563286793331002400009310804307460784912109375,-7.085831998168917067459915415383875370025634765625,186.716614768501557364288601092994213104248046875,
25,30,-7.70809491111619760062012574053369462490081787109375,-7.081864652475776011897323769517242908477783203125,186.72484239019519236535415984690189361572265625,
25,40,-7.70809491111619760062012574053369462490081787109375,-7.082169832913709939248292357660830020904541015625,186.72685029407688261926523409783840179443359375,
25,50,-7.70809491111619760062012574053369462490081787109375,-7.082475013351643866599260945804417133331298828125,186.72844682086275724941515363752841949462890625,
Repeat,Generation,X1,X2,F(x)
26,0,-7.14686808575570342583205274422653019428253173828125,-0.2296482795452821079607019782997667789459228515625,115.55576040184524799769860692322254180908203125,
