Repeat,Generation,X1,X2,F(x)
15,0,-1.399273659474470576924431952647864818572998046875,5.4783776360362566038020304404199123382568359375,185.11914138739513191467267461121082305908203125,
15,10,4.850917081209754400106248795054852962493896484375,5.4783776360362566038020304404199123382568359375,186.56788820764842284916085191071033477783203125,
15,20,4.858851893673513444582567899487912654876708984375,5.4893642994476152807692415080964565277099609375,186.636164708525001287853228859603404998779296875,
15,30,4.858851893673513444582567899487912654876708984375,5.4783776360362566038020304404199123382568359375,186.684926956235955231022671796381473541259765625,
15,40,4.858851893673513444582567899487912654876708984375,5.4850917081209757952819927595555782318115234375,186.718474463976662036657216958701610565185546875,
15,50,4.857631153294473591586211114190518856048583984375,5.4838709677419359422856359742581844329833984375,186.72824699313281371360062621533870697021484375,
Repeat,Generation,X1,X2,F(x)
16,0,-6.25720999786370413175973226316273212432861328125,-0.916470839564194506010608165524899959564208984375,43.1441023650752271123565151356160640716552734375,
16,10,5.4857020783104957217801711522042751312255859375,-0.144962920010986096031047054566442966461181640625,118.9022137826244716052315197885036468505859375,
16,20,5.4838709677419359422856359742581844329833984375,-7.73613696707052866941012325696647167205810546875,184.942904178581869700792594812810420989990234375,
16,30,5.4777672658467366773038520477712154388427734375,-7.6940214239936519646789747639559209346771240234375,186.195700086567995867881109006702899932861328125,
16,40,5.4777672658467366773038520477712154388427734375,-7.6952421643726918176753315492533147335052490234375,186.273942809843248369361390359699726104736328125,
16,50,5.4777672658467366773038520477712154388427734375,-7.72026734214300969227906534797511994838714599609375,186.34185053514266883212258107960224151611328125,
Repeat,Generation,X1,X2,F(x)
17,0,5.5638294625690480899038448114879429340362548828125,-6.59474471266823325521500009926967322826385498046875,89.975660786858298934021149761974811553955078125,
17,10,5.415509506515700621775977197103202342987060546875,-1.423688467055267636851567658595740795135498046875,176.7125949742356851857039146125316619873046875,
17,20,5.4759361552781768978093168698251247406005859375,-1.423688467055267636851567658595740795135498046875,186.619916586926166246485081501305103302001953125,
17,30,5.4759361552781768978093168698251247406005859375,-1.424909207434307489847924443893134593963623046875,186.624636610447851126082241535186767578125,
17,40,5.4850917081209757952819927595555782318115234375,-1.424909207434307489847924443893134593963623046875,186.719835826059352257288992404937744140625,
17,50,5.4826502273628960892892791889607906341552734375,-1.424909207434307489847924443893134593963623046875,186.730695631411663271137513220310211181640625,
Repeat,Generation,X1,X2,F(x)
18,0,-0.7058931241798145350685445009730756282806396484375,-7.46940519425031279610038836835883557796478271484375,56.11940810897675646629068069159984588623046875,
18,10,-0.8090456862086856659743716591037809848785400390625,-1.4432203131199070611501156236045062541961669921875,185.805094130840046773300855420529842376708984375,
18,20,-0.8017212439344465479962309473194181919097900390625,-1.424298837244787563349746051244437694549560546875,186.724971447528588441855390556156635284423828125,
18,30,-0.8017212439344465479962309473194181919097900390625,-1.424298837244787563349746051244437694549560546875,186.724971447528588441855390556156635284423828125,
18,40,-0.8017212439344465479962309473194181919097900390625,-1.425519577623827416346102836541831493377685546875,186.726219297016768905450589954853057861328125,
18,50,-0.8011108737449266214980525546707212924957275390625,-1.425519577623827416346102836541831493377685546875,186.729173771831966632817056961357593536376953125,
Repeat,Generation,X1,X2,F(x)
19,0,-2.54554887539292540310498225153423845767974853515625,-0.74068422498245212182155228219926357269287109375,48.55272613685155391749503905884921550750732421875,
19,10,-7.8368480483413183179663974442519247531890869140625,-0.77791680654316763821043423376977443695068359375,150.268625787806257676493260078132152557373046875,
19,20,-7.8356273079622784649700406589545309543609619140625,-0.77791680654316763821043423376977443695068359375,150.897568727190531490123248659074306488037109375,
19,30,-7.8136539811395611110356185236014425754547119140625,-0.77852717673268756470861262641847133636474609375,161.44133668453122254504705779254436492919921875,
19,40,-7.7001251258888512296607586904428899288177490234375,-0.78096865749076727070132619701325893402099609375,185.7503715882348842569626867771148681640625,
19,50,-7.7074495681630903476388994022272527217864990234375,-0.78096865749076727070132619701325893402099609375,185.904587771340601420888560824096202850341796875,
Repeat,Generation,X1,X2,F(x)
20,0,-7.21976378673665575291806817403994500637054443359375,-1.4450514236884668406446508015505969524383544921875,145.984605682776788171395310200750827789306640625,
20,10,-7.09280678731650748858328370261006057262420654296875,-1.4401684621723074286592236603610217571258544921875,186.0155581843265508723561652004718780517578125,
20,20,-7.09158604693746763558692691731266677379608154296875,-1.4267403180028690456992990220896899700164794921875,186.5804574761594949450227431952953338623046875,
20,30,-0.8023316141239664744944093399681150913238525390625,-1.4279610583819088986956558073870837688446044921875,186.703290174200816409211256541311740875244140625,
20,40,-0.8023316141239664744944093399681150913238525390625,-1.4261299478133491192011206294409930706024169921875,186.719636913842720105094485916197299957275390625,
20,50,-0.8011108737449266214980525546707212924957275390625,-1.4261299478133491192011206294409930706024169921875,186.72719327328240979113616049289703369140625,
Repeat,Generation,X1,X2,F(x)
21,0,-1.4706869716483055299249826930463314056396484375,5.384990997039704296867057564668357372283935546875,161.53409312332661329492111690342426300048828125,
21,10,-1.4310129093295085311865477706305682659149169921875,5.5015717032380138107328093610703945159912109375,185.8800275231724299374036490917205810546875,
21,20,-1.424298837244787563349746051244437694549560546875,5.4802087466048163832965656183660030364990234375,186.713716352697019829065538942813873291015625,
21,30,-1.425519577623827416346102836541831493377685546875,5.4826502273628960892892791889607906341552734375,186.730451099187348518171347677707672119140625,
21,40,-1.425519577623827416346102836541831493377685546875,5.4826502273628960892892791889607906341552734375,186.730451099187348518171347677707672119140625,
21,50,-1.425519577623827416346102836541831493377685546875,5.4826502273628960892892791889607906341552734375,186.730451099187348518171347677707672119140625,
Repeat,Generation,X1,X2,F(x)
22,0,-6.4922025208288829389857710339128971099853515625,4.3296609393597211834503468708135187625885009765625,49.56035945352818572473552194423973560333251953125,
22,10,-1.418195135349588298367962124757468700408935546875,5.5119479964598543375586814363487064838409423828125,184.762075083984171897100168280303478240966796875,
22,20,-1.4297921689504686781901909853331744670867919921875,5.4820398571733761627911007963120937347412109375,186.67878786925911072103190235793590545654296875,
22,30,-1.422467726676227783855210873298346996307373046875,5.4820398571733761627911007963120937347412109375,186.712894436189145608295802958309650421142578125,
22,40,-1.423078096865747710353389265947043895721435546875,5.4826502273628960892892791889607906341552734375,186.721003818569244003811036236584186553955078125,
22,50,-1.424909207434307489847924443893134593963623046875,5.4820398571733761627911007963120937347412109375,186.729294950342506353990756906569004058837890625,
Repeat,Generation,X1,X2,F(x)
23,0,4.155095065157016875900808372534811496734619140625,-7.610400708029420258071695570833981037139892578125,53.076053794906101757078431546688079833984375,
23,10,-0.851161229285562370705520152114331722259521484375,-7.75688955351420617034818860702216625213623046875,175.7893722872804573853500187397003173828125,
23,20,-0.8120975371562852984652636223472654819488525390625,-7.6897488326670124791917260154150426387786865234375,185.618233357622983703549834899604320526123046875,
23,30,-0.8047730948820461804871229105629026889801025390625,-7.6946317941831718911771531566046178340911865234375,186.24928778049348920831107534468173980712890625,
23,40,-0.8023316141239664744944093399681150913238525390625,-7.7080599383526102741370777948759496212005615234375,186.721823731849980276820133440196514129638671875,
23,50,-0.8011108737449266214980525546707212924957275390625,-7.7080599383526102741370777948759496212005615234375,186.729380179788023497167159803211688995361328125,
Repeat,Generation,X1,X2,F(x)
24,0,-2.14819788201544259464981223572976887226104736328125,-7.75811029389324602334454539231956005096435546875,52.5173996582906141838975599966943264007568359375,
24,10,-7.09891048921170675356506762909702956676483154296875,4.839930417798395723139037727378308773040771484375,185.446826324492775484031881205737590789794921875,
24,20,-7.09524826807458719457599727320484817028045654296875,4.843592638935515282128108083270490169525146484375,185.94137675055793579304008744657039642333984375,
24,30,-7.08059938352610895861971584963612258434295654296875,4.843592638935515282128108083270490169525146484375,186.227050624367080899901338852941989898681640625,
24,40,-7.08548234504226837060514299082569777965545654296875,4.843592638935515282128108083270490169525146484375,186.2370609029011347956839017570018768310546875,
24,50,-7.08548234504226837060514299082569777965545654296875,4.843592638935515282128108083270490169525146484375,186.2370609029011347956839017570018768310546875,
Repeat,Generation,X1,X2,F(x)
25,0,-1.4951017792291025898521183989942073822021484375,5.5656605731376078693983799894340336322784423828125,161.834192756499561482996796257793903350830078125,
25,10,-7.72087771233252961877724374062381684780120849609375,5.4850917081209757952819927595555782318115234375,186.35359645719171339806052856147289276123046875,
25,20,-7.71599475081637020679181659943424165248870849609375,5.4850917081209757952819927595555782318115234375,186.5827883546908196876756846904754638671875,
25,30,-7.71538438062685028029363820678554475307464599609375,5.4826502273628960892892791889607906341552734375,186.614550015105038482943200506269931793212890625,
25,40,-7.7062288277840504946425426169298589229583740234375,5.4826502273628960892892791889607906341552734375,186.720670269806220176178612746298313140869140625,
25,50,-7.7086703085421302006352561875246465206146240234375,5.4826502273628960892892791889607906341552734375,186.730511345126359401547233574092388153076171875,
Repeat,Generation,X1,X2,F(x)
26,0,5.1036103396710092994226215523667633533477783203125,-6.9438764610736409821356573957018554210662841796875,44.11826187761203499348994228057563304901123046875,
26,10,-7.0665608691671497609831931185908615589141845703125,-7.71660512100589013328999499208293855190277099609375,185.939068513125647541528451256453990936279296875,
26,20,-7.08059938352610895861971584963612258434295654296875,-7.71660512100589013328999499208293855190277099609375,186.55245777542637597434804774820804595947265625,
26,30,-7.08182012390514881161607263493351638317108154296875,-7.7068391979735704211407210095785558223724365234375,186.719557063786538719796226359903812408447265625,
26,40,-7.08182012390514881161607263493351638317108154296875,-7.7080599383526102741370777948759496212005615234375,186.724476505266210324407438747584819793701171875,
26,50,-7.08304086428418866461242942023091018199920654296875,-7.7074495681630903476388994022272527217864990234375,186.728688959457514329187688417732715606689453125,
Repeat,Generation,X1,X2,F(x)
27,0,6.017334513382365912548266351222991943359375,-0.885952330088198181101688533090054988861083984375,104.0961566503783188863963005132973194122314453125,
27,10,-7.73003326517532940442833933047950267791748046875,-0.79683828241828535965396440587937831878662109375,185.61324477286188994185067713260650634765625,
27,20,-7.71355327005829050079910302883945405483245849609375,-0.79805902279732521265032119117677211761474609375,186.655730591415846220115781761705875396728515625,
27,30,-7.7080599383526102741370777948759496212005615234375,-0.80050050355540491864303476177155971527099609375,186.73068756716673988194088451564311981201171875,
27,40,-7.7080599383526102741370777948759496212005615234375,-0.80050050355540491864303476177155971527099609375,186.73068756716673988194088451564311981201171875,
27,50,-7.7080599383526102741370777948759496212005615234375,-0.80050050355540491864303476177155971527099609375,186.73068756716673988194088451564311981201171875,
Repeat,Generation,X1,X2,F(x)
28,0,-0.0222785119174790935403507319279015064239501953125,-0.906704916531875682039753883145749568939208984375,65.7127426070004645453082048334181308746337890625,
28,10,-0.8328501235999627994033289724029600620269775390625,-1.376689962462233296491831424646079540252685546875,178.939569085277383919674321077764034271240234375,
28,20,-0.79378643147068572716307244263589382171630859375,-1.405987731559189768404394271783530712127685546875,185.77901367086150230534258298575878143310546875,
28,30,-0.79866939298684513914849958382546901702880859375,-1.405987731559189768404394271783530712127685546875,185.8668467167734661416034214198589324951171875,
28,40,-0.80050050355540491864303476177155971527099609375,-1.425519577623827416346102836541831493377685546875,186.73048115776549593647359870374202728271484375,
28,50,-0.80050050355540491864303476177155971527099609375,-1.425519577623827416346102836541831493377685546875,186.73048115776549593647359870374202728271484375,
Repeat,Generation,X1,X2,F(x)
29,0,-7.8307443464461190529846135177649557590484619140625,5.662709433271277958965583820827305316925048828125,101.0166767730135717329176259227097034454345703125,
29,10,-7.0683919797357095404777282965369522571563720703125,-7.6934110538041320381807963713072240352630615234375,185.7091786129022921159048564732074737548828125,
29,20,-7.08304086428418866461242942023091018199920654296875,-7.6946317941831718911771531566046178340911865234375,186.2925324292024242822662927210330963134765625,
29,30,-7.08304086428418866461242942023091018199920654296875,-7.6952421643726918176753315492533147335052490234375,186.33078902955077182923560030758380889892578125,
29,40,-7.08609271523178829710332138347439467906951904296875,-7.7080599383526102741370777948759496212005615234375,186.715971964793197912513278424739837646484375,
29,50,-7.08243049409466873811425102758221328258514404296875,-7.7080599383526102741370777948759496212005615234375,186.728201025399329182619112543761730194091796875,
Repeat,Generation,X1,X2,F(x)
30,0,5.388653218176823855856127920560538768768310546875,-1.352885525070956163062874111346900463104248046875,156.271401075512216038987389765679836273193359375,
30,10,5.4741050447096171183147816918790340423583984375,-1.355327005829035869055587681941688060760498046875,175.111473293364639403080218471586704254150390625,
30,20,5.4741050447096171183147816918790340423583984375,-1.405377361369669841906215879134833812713623046875,185.6482377662838416654267348349094390869140625,
30,30,5.4838709677419359422856359742581844329833984375,-1.405987731559189768404394271783530712127685546875,185.870617072778117062625824473798274993896484375,
30,40,5.4838709677419359422856359742581844329833984375,-1.405987731559189768404394271783530712127685546875,185.870617072778117062625824473798274993896484375,
30,50,5.4863124485000156482783495448529720306396484375,-1.425519577623827416346102836541831493377685546875,186.704290424848664997625746764242649078369140625,
Repeat,Generation,X1,X2,F(x)
31,0,-0.25116733298745685942776617594063282012939453125,-8.2909634693441578434658367768861353397369384765625,49.989908777539170614545582793653011322021484375,
31,10,-0.6552323984496606357197379111312329769134521484375,4.991912594988860973899136297404766082763671875,111.4454880086235988301268662326037883758544921875,
31,20,-7.0519119846186715250269116950221359729766845703125,4.967497787408063913972000591456890106201171875,156.8491237604752086554071865975856781005859375,
31,30,-0.8066042054506059599816580885089933872222900390625,4.861293374431593150575281470082700252532958984375,186.6191747179208277884754352271556854248046875,
31,40,-0.8017212439344465479962309473194181919097900390625,4.861293374431593150575281470082700252532958984375,186.702139474992492296223645098507404327392578125,
31,50,-0.8011108737449266214980525546707212924957275390625,4.857631153294473591586211114190518856048583984375,186.729107955582520617099362425506114959716796875,
Repeat,Generation,X1,X2,F(x)
32,0,-7.96929837946714680896320714964531362056732177734375,-7.24662007507553340701633715070784091949462890625,43.80017191186692571136518381536006927490234375,
